,Title
923,Mrs. Samuel L. Waldo
924,"Old Pat, the Independent Beggar"
925,Portrait of a Girl with Flowers
926,Portrait of a Lady (Possibly of the Buloid Family)
927,Portrait of a Man
928,The Reverend John Brodhead Romeyn
929,Self-portrait
930,New York Bay and Harbor
931,A Morning Vision
932,The Harrower
933,Entrance Hall of the Metropolitan Museum of Art when in Fourteenth Street
934,Interior View of the Metropolitan Museum of Art when in Fourteenth Street
935,Coming Events Cast Their Shadows Before
936,The Coppersmith
937,The Celebration of the Mass
938,The Passing of Summer
939,The Roaring Forties
940,Wild Weather
941,The Rajah Starting on a Hunt
942,"The Alhambra, Granada, Spain"
943,Forging the Shaft
944,The Morning Paper
945,Connecticut Village (Going to School)
946,The Factory Village
947,Fruit
948,The Green Bodice
949,Idle Hours
950,The Red Bridge
951,General Winfield Scott
952,"Letitia (Mrs. Wentworth, Sr.)"
953,George Washington
954,The Damsel and Orlando
955,Hagar and Ishmael
956,Moses Shown the Promised Land
957,"Omnia Vincit Amor, or The Power of Love in the Three Elements"
958,Sarah Ursula Rose
959,"Arrangement in Black, No. 3: Sir Henry Irving as Philip II of Spain"
960,Arrangement in Black: Girl Reading
961,Arrangement in Flesh Colour and Black: Portrait of Theodore Duret
962,"Cremorne Gardens, No. 2"
963,Edward Guthrie Kennedy
964,Harmony in Yellow and Gold: The Gold Girl—Connie Gilchrist
965,Nocturne in Green and Gold
966,The Antiquary
967,The Camp Meeting
968,Evening in the Woods
969,The Trout Pool
970,George A. Hearn
971,Lemuel Maynard Wiles
972,"Portrait of a Boy, Probably of the Crossfield Family"
973,Cadwallader Colden
974,Joseph Reade
975,Mrs. Cadwallader Colden
976,Mrs. Joseph Reade
977,William Axtell
978,Thomas Macdonough
979,A Bit of War History: The Veteran
980,A Bit of War History: The Contraband
981,A Bit of War History: The Recruit
982,Still Life: Peaches and Grapes
983,"Still Life: Peaches, Apple, and Pear"
984,"Broad, Silent Valley"
985,Glimpse of the Sea
986,An Old Clearing
987,Tennessee
988,View in County Kerry
989,Convent near Rome
990,"Pulpit in Saint Mark's, Venice"
991,Sunset
992,Study from Nature
993,A Street in Ikao
994,Dr. John Wakefield Francis
995,An Incident of Whaling
996,Off Greenland—Whaler Seeking Open Water
997,From Shifting Shade
998,Mrs. Charles Cummings (Rebecca Pittard)
999,Lilacs in a Window (Vase de Lilas a la Fenetre)
1000,Arques-la-Bataille
1001,Mayfair
1002,The Albany Boat
1003,Canton Waterfront (The Hongs at Canton)
1004,Night Clouds and Star Dust
1005,Esther Boardman
1006,William Merritt Chase
1007,The Contest for the Bouquet: The Family of Robert Gordon in Their New York Dining-Room
1008,"Shadows, Spuyten Duyvil Hill"
1017,"The Fable of the Miller, His Son, and the Donkey No. 9"
1018,Gentleman of the Hale Family
1019,"Shore at Orient, Long Island"
1020,Benjamin West (fragment from a portrait)
1021,Benjamin West
1022,Mrs. Ethel Cushing
1023,Sarra de Peyster
1024,The Pink Sash
1025,Queen Victoria
1026,View from Staten Island
1027,The Water Garden
1028,"Celia Thaxter's Garden, Isles of Shoals, Maine"
1029,A Rose
1030,Woman Reading
1031,San Gimignano
1032,"Surf, Isles of Shoals"
1033,Picnic by the Inlet
1034,Study for Portrait of Mrs. Anna E. Little
